"";"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
"85";85;-0,883985962602162;0,510847824159423;-1,91095201303646;2,3149774776598;0,684731712332256;0,237916196162467;0,0294040168419723;0,333907966651831;0,120420071885287;0,0272318742182596;"ignorable";"MAR"
"86";86;-1,06578349241564;0,460149087140405;-1,68438508361371;2,37227596616682;0,691338392277808;0,243914505498501;0,0303447304009383;0,34222890052427;0,123145609124813;0,0283634752020813;"ignorable";"MAR"
"87";87;-1,01018190340189;0,489231631829226;-1,34036295769387;2,45770137498551;0,758525082906278;0,25320203303194;0,0317409985542129;0,354922999571021;0,12815170648392;0,0296994785607208;"ignorable";"MAR"
"88";88;-1,2222151278117;0,511398818039404;-1,42722941103234;2,30075839462658;0,682173520011027;0,236600155491439;0,0292639205371901;0,331923470187154;0,119662321769988;0,0276045513741278;"ignorable";"MAR"
"89";89;-1,63252682978102;0,542505149068769;-1,43014167827525;2,16576861796014;0,687622851261151;0,223725999123488;0,0291327639069403;0,313583181638956;0,112984890922019;0,0275706592188578;"ignorable";"MAR"
"90";90;-1,11367849629984;0,479102420080035;-1,40684607822128;2,25422093610735;0,73406954773512;0,232994652668174;0,031235208613261;0,326231506544523;0,118282806089294;0,0288627330430543;"ignorable";"MAR"
"91";91;-0,962988398377967;0,499937876603636;-1,86749929558557;2,38565540628291;0,689802246677197;0,245183880315741;0,0298065151487804;0,34417112770811;0,124148943612662;0,0281559652250487;"ignorable";"MAR"
"92";92;-1,38642483816157;0,523271263531058;-1,25586299702923;2,27034417109206;0,686368949647854;0,233909056073238;0,0302174627604088;0,328021217089678;0,118580685345618;0,0278864449517963;"ignorable";"MAR"
"93";93;-0,737719505781191;0,483406899521519;-2,39569478890046;2,19499340658499;0,721624163195147;0,226931048522153;0,0313564342068707;0,318069770946586;0,115164584193624;0,0287300000866576;"ignorable";"MAR"
"94";94;-0,995369953295044;0,495966331169843;-1,73524919164563;2,3137052981933;0,721669825510477;0,238657625281464;0,0325240600978718;0,334722910030972;0,121055338677513;0,0292101903699261;"ignorable";"MAR"
"95";95;-1,17714852191183;0,468102030410049;-1,61325606930165;2,33556479625726;0,753313631569421;0,241180188547261;0,0319906378368344;0,33807588968644;0,122179140959437;0,0295608387172443;"ignorable";"MAR"
"96";96;-1,47966030066795;0,561437310459653;-1,10311777344246;2,26732457762615;0,716805642486936;0,233788355490879;0,029781325957241;0,327637037020215;0,11839728899497;0,028154646933698;"ignorable";"MAR"
"97";97;-1,36856911878576;0,488570193617015;-1,11119121780096;2,27242304455211;0,698223215625153;0,234394199436537;0,0297490705029212;0,328683298227261;0,119419370420727;0,0285800526830438;"ignorable";"MAR"
"98";98;-0,919401987531252;0,486576285506435;-1,64629308704768;2,32971681887681;0,686514191989859;0,239525363593576;0,0294264228620295;0,33600535769235;0,121126771051129;0,0271260649350523;"ignorable";"MAR"
"99";99;-1,53530154444925;0,491274227389829;-1,45240271035519;2,0611781735086;0,71265483143549;0,213877344341774;0,0300919003872209;0,299310790078849;0,1087150720024;0,028387956612151;"ignorable";"MAR"
"100";100;-1,04686120010937;0,496128926803707;-1,66763365499976;2,29720897608668;0,668930742247714;0,236230012011622;0,0297050427835143;0,331310118011676;0,119393443776599;0,0271120842494111;"ignorable";"MAR"
"101";1;-0,859893271975151;0,607318586292518;-2,16340952923651;2,15777291221713;0,643945945141232;0,223026398028556;0,0308411854263032;0,313258700366702;0,114211895792877;0,0254533716984163;"ignorable";"MNAR"
"102";2;-1,16221888829396;0,573611332423349;-1,05355044231521;2,30895409275123;0,69541432395933;0,238829731954935;0,030791909964814;0,335533371099329;0,12255042425833;0,0263408896400091;"ignorable";"MNAR"
"103";3;-1,18255289568376;0,55578574049034;-1,64657187712411;2,36524698192087;0,712589129859635;0,244657725814436;0,0340979775827846;0,343833617108769;0,125500670467181;0,0285171163501146;"ignorable";"MNAR"
"104";4;-1,05910904340304;0,637911394181221;-1,84642012560594;2,2249101069476;0,702505648598828;0,230707104203744;0,0345353657579736;0,324381830110072;0,118883756051079;0,0284910828837367;"ignorable";"MNAR"
