"";"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
"425";42;-1,1769877931447;0,513661886817363;-1,51980625924155;2,33907996291596;0,744977491740267;0,0590277470818063;0,0308465069441382;0,0683445423223736;0,116989661329371;0,023577762745936;"spm";"MNAR"
"426";42;-1,1074218652321;0,494921936435934;-1,56497537758011;0,461155963054434;0,736888011475538;0,0583867803878218;0,0305115495790291;0,0676023860317014;0,0230552268688669;0,0233245236930202;"spm+class";"MNAR"
"427";43;-1,0143198273303;0,54578080027522;-1,72663442387239;2,27110812279594;0,684690114298464;0,0551276942720823;0,00102608605520849;0,108836429571237;0,120664817515563;0,0266833068838075;"ignorable";"MNAR"
"428";43;-0,927520752407853;0,509043642950176;-1,81273095547818;2,30447727834659;0,680882097688586;0,0530629835113679;0,027374693306507;0,0600347797044875;0,11511517644168;0,0208761604603655;"spm";"MNAR"
"429";43;-1,31614599547714;0,506936334504163;-1,38841772056344;0,484196808874908;0,687157575167565;0,0535520165354389;0,0276269960820762;0,060588100471607;0,0242100111677917;0,0210663716822807;"spm+class";"MNAR"
"430";44;-1,25362076487982;0,494024069880078;-1,7048626962216;2,26599361471065;0,653379442774718;0,0546479240550008;0,00104507442958372;0,108117164952465;0,119747896093749;0,0265615149463685;"ignorable";"MNAR"
"431";44;-1,24051576495292;0,444601094326039;-1,65934853065;2,31262571045734;0,652991477335075;0,0513757158859372;0,0272257247073293;0,0589470289832942;0,115531127149505;0,0205784075869872;"spm";"MNAR"
"432";44;-1,44769061564705;0,442142536746508;-1,52324067340916;0,480189462847015;0,663080432129056;0,0521694882633705;0,0276463672788622;0,0598577748857245;0,024009717861632;0,0208840364117712;"spm+class";"MNAR"
"433";45;-1,09360672249415;0,550538574937119;-1,48709875888085;2,3579703726575;0,699453572231046;0,059337797168072;0,00108290920386356;0,117249150436015;0,125036342523837;0,0271635012464886;"ignorable";"MNAR"
"434";45;-1,11288891314278;0,507072104413307;-1,4285916599823;2,40135411720573;0,694280046673344;0,0538456951503868;0,0280825473634249;0,0615044044908652;0,119996415837786;0,0212419204339863;"spm";"MNAR"
